location,latitude,longitude,date,lead,mercury,cadmium,arsenic,chromium,copper,zinc,nickel
Mumbai Industrial Area,19.0760,72.8777,2024-01-15,0.012,0.004,0.002,0.015,0.03,0.15,0.8,0.05
Pune Water Treatment Plant,18.5204,73.8567,2024-01-16,0.005,0.002,0.001,0.008,0.02,0.1,0.5,0.03
Delhi Yamuna River,28.7041,77.1025,2024-01-17,0.018,0.007,0.004,0.022,0.045,0.25,1.2,0.08
Bangalore Lake Sample,12.9716,77.5946,2024-01-18,0.008,0.003,0.001,0.012,0.025,0.12,0.6,0.04
Chennai Coastal Water,13.0827,80.2707,2024-01-19,0.015,0.005,0.003,0.018,0.035,0.18,0.9,0.06
Kolkata Industrial Zone,22.5726,88.3639,2024-01-20,0.020,0.008,0.005,0.025,0.055,0.3,1.5,0.1
Hyderabad Tech City,17.3850,78.4867,2024-01-21,0.007,0.002,0.001,0.009,0.018,0.08,0.4,0.025
Ahmedabad River Sample,23.0225,72.5714,2024-01-22,0.014,0.006,0.003,0.016,0.032,0.16,0.75,0.055
Jaipur Lake Water,26.9124,75.7873,2024-01-23,0.009,0.003,0.002,0.011,0.022,0.11,0.55,0.035
Lucknow Urban Area,26.8467,80.9462,2024-01-24,0.011,0.004,0.002,0.013,0.028,0.14,0.65,0.045
